	file_spec 2MASS_2MASS.H.dat	2MASS_2MASS.J.dat	2MASS_2MASS.Ks.dat	F378.dat	F395.dat	F410.dat	F430.dat	F515.dat	F660.dat	F861.dat	G.dat	I.dat	R.dat	U.dat	Z.dat	GAIA_GAIA2.G.dat	GAIA_GAIA2.Gbp.dat	GAIA_GAIA2.Grp.dat	GALEX_GALEX.FUV.dat	GALEX_GALEX.NUV.dat	WISE_WISE.W1.dat	WISE_WISE.W2.dat	WISE_WISE.W3.dat	WISE_WISE.W4.dat
Ech1.30Zm0.25T00.0300_iTp0.00_baseFe.txt	inf	inf	inf	28.412727243303387	28.182959877369775	28.10210046922743	28.123673273411647	28.13435926038543	28.106708411780936	27.980257906591014	28.11152206646485	28.022277030546356	28.077875179799655	28.63325718633623	28.968559508925274	28.140056806299107	28.136683650244244	28.18345276125516	28.698389589679614	28.615548943430802	39.802963183351686	35.80646645548284	36.31392888153402	29.31927733935354
Ech1.30Zm0.25T00.0400_iTp0.00_baseFe.txt	inf	inf	inf	28.683442075586377	28.44320447058866	28.348211724901766	28.367378603561498	28.367643290279396	28.349283113774028	28.246578176039087	28.348910847253144	28.280782050616843	28.315397385125756	28.907618103295498	29.2345535476478	28.38542124819572	28.375490910868187	28.438895054659234	29.07141847562638	28.962451812052855	40.09731148007224	36.1008147522034	36.608277178254575	29.613625636074097
Ech1.30Zm0.25T00.0500_iTp0.00_baseFe.txt	inf	inf	inf	28.89262684592014	28.637137889636342	28.531667014095852	28.54948812939812	28.542550945272403	28.531788200900856	28.440393465649088	28.52701323149642	28.460340971183292	28.494640919875543	29.137764185474687	29.427900564834083	28.56549239148689	28.556498490542374	28.620819258004353	29.39243588222653	29.264530390281017	40.33130195967575	36.334805231806904	36.84226765785808	29.847616115677603
Ech1.30Zm0.25T00.0600_iTp0.00_baseFe.txt	inf	inf	inf	29.05172056466062	28.783534505635636	28.666982654279387	28.682146717168727	28.6615439246901	28.639740098460855	28.540113315234073	28.650756831985085	28.55820434771575	28.60483345449604	29.308111816929433	29.52521223828301	28.67594372815551	28.67764840364122	28.721232727588806	29.671643632800304	29.51674170200706	40.50239321763936	36.505896489770485	37.01335891582169	30.0187073736412
Ech1.30Zm0.25T00.0700_iTp0.00_baseFe.txt	inf	inf	inf	29.188583230207804	28.90761967247463	28.78466041619	28.79996276435063	28.78014119978817	28.77029203184393	28.66869145701964	28.769417783831223	28.683593351340996	28.732326049287785	29.451578286025104	29.651620620584332	28.800458939642176	28.800725570566975	28.84799177059218	29.89379789247672	29.70770375000344	40.65487373916299	36.65837701129416	37.16583943734533	30.17118789516484
Ech1.30Zm0.25T00.0800_iTp0.00_baseFe.txt	inf	inf	inf	29.296059406131555	29.00744097371119	28.87723095694323	28.891143517993804	28.864503306386432	28.854435798391513	28.751963994273574	28.856525611364695	28.767861078959974	28.815839970091567	29.571161959803497	29.733926567724758	28.88556398808334	28.88794672606489	28.932018197495317	30.099056166283127	29.88739019481317	40.77650047974378	36.78000375187492	37.2874661779261	30.29281463574562
Ech1.30Zm0.25T00.0900_iTp0.00_baseFe.txt	inf	inf	inf	29.398846781679218	29.101945161496126	28.965429064370646	28.977114240707728	28.942613068199044	28.929315509301823	28.824581206457744	28.938274347824056	28.836671361279265	28.891287398071363	29.6815339479299	29.805609232299638	28.960958101059994	28.96882432426819	29.002642546611092	30.25700630783364	30.027097887204185	40.877625243138816	36.88112851526996	37.38859094132116	30.39393939914067
Ech1.30Zm0.25T00.1000_iTp0.00_baseFe.txt	inf	inf	inf	29.48797333718432	29.18155149755801	29.04321116003009	29.056082452964525	29.02949602462113	29.035154540439244	28.93083018345576	29.02241447526034	28.940019049078195	28.992452732167088	29.77580419186196	29.910992163528043	29.058137478960838	29.059640776937904	29.106915934802736	30.384848609249936	30.148231417470676	40.980691339788656	36.9841946119198	37.491657037971	30.49700549579051
Ech1.30Zm0.25T00.1500_iTp0.00_baseFe.txt	28.996042707321713	29.07207680436928	29.27440819900655	29.789506961362925	29.443897742060607	29.28737305129919	29.301358547330004	29.26861307981249	29.289313890493155	29.202349065558984	29.26580730817063	29.204150989455222	29.244137761069986	30.107273016250822	29.29802628605548	29.247917162409458	29.309387894374318	29.213604565499942	30.737483186581933	30.54507344942042	29.953496914179972	30.622315750260192	29.628247008882987	29.84336755014639
Ech1.30Zm0.25T00.2000_iTp0.00_baseFe.txt	29.180253797517373	29.254148817850144	29.45995736316288	30.035127991641524	29.65054150739575	29.480041729490758	29.49431114867489	29.452531473787552	29.481444392414538	29.3884642607078	29.45361907944885	29.39161155857152	29.432681629145996	30.38388931605926	29.481024320243314	29.43605936738266	29.50108669978855	29.400397750833285	31.08911499162297	30.88662410096989	30.14046353972926	30.806597617215424	29.80877260261594	30.047548233144674
